Time/s,Azimuth/deg,Zenith/deg
448,-51.78000000,39.28400000
449,-50.65000000,45.94700000
450,-51.39000000,43.83700000
451,-52.15000000,41.60800000
452,-52.95000000,39.23600000
453,-51.98000000,46.00300000
454,-52.67000000,43.86300000
455,-53.39000000,41.60000000
456,-54.13000000,39.19100000
457,-53.31000000,46.05700000
458,-53.95000000,43.88900000
459,-54.62000000,41.59300000
460,-55.31000000,39.14700000
461,-54.64000000,46.11000000
462,-55.24000000,43.91400000
463,-55.85000000,41.58700000
464,-56.49000000,39.10600000
465,-55.97000000,46.16100000
466,-56.52000000,43.93800000
467,-57.08000000,41.58100000
468,-57.66000000,39.06600000
469,-57.30000000,46.21100000
470,-57.80000000,43.96200000
471,-58.32000000,41.57700000
472,-58.84000000,39.02800000
473,-58.63000000,46.25800000
474,-59.09000000,43.98500000
475,-59.55000000,41.57200000
476,-60.01000000,38.99300000
477,-59.96000000,46.30400000
478,-60.37000000,44.00800000
479,-60.78000000,41.56900000
480,-61.18000000,38.95900000
481,-61.30000000,46.34900000
482,-61.66000000,44.03000000
483,-62.01000000,41.56600000
484,-62.35000000,38.92800000
485,-62.63000000,46.39200000
486,-62.94000000,44.05200000
487,-63.24000000,41.56400000
488,-63.53000000,38.89900000
489,-63.96000000,46.43300000
490,-64.23000000,44.07300000
491,-64.48000000,41.56300000
492,-64.70000000,38.87200000
493,-65.30000000,46.47200000
494,-65.51000000,44.09300000
495,-65.71000000,41.56300000
496,-65.87000000,38.84700000
497,-66.63000000,46.51000000
498,-66.80000000,44.11400000
499,-66.94000000,41.56300000
500,-67.04000000,38.82500000
501,-67.96000000,46.54500000
502,-68.08000000,44.13300000
503,-68.17000000,41.56400000
504,-68.21000000,38.80400000
505,-69.30000000,46.57900000
506,-69.37000000,44.15200000
507,-69.40000000,41.56600000
508,-69.38000000,38.78600000
509,-70.63000000,46.61200000
510,-70.65000000,44.17000000
511,-70.63000000,41.56800000
512,-70.55000000,38.77000000
513,-71.97000000,46.64200000
514,-71.94000000,44.18800000
515,-71.87000000,41.57200000
516,-71.72000000,38.75700000
517,-73.30000000,46.67100000
518,-73.23000000,44.20500000
519,-73.10000000,41.57600000
520,-72.89000000,38.74500000
521,-74.64000000,46.69800000
522,-74.51000000,44.22200000
523,-74.33000000,41.58100000
524,-74.06000000,38.73700000
525,-75.97000000,46.72300000
526,-75.80000000,44.23800000
